Ensembl_Gene_ID,Symbol,category,reference_tpm,reference_source,reference_profile_version
ENSG00000223718,RPL15P11,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000243402,RPL15P12,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000226428,RPL15P13,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000226701,RPL15P14,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000244259,RPL15P15,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000234751,RPL15P16,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000243830,RPL15P17,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000228501,RPL15P18,ribosomal_protein,0.060102,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000259545,RPL15P19,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000240914,RPL15P2,ribosomal_protein,0.060102,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000215003,RPL15P20,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000282445,RPL15P20,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000244753,RPL15P21,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000231369,RPL15P22,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000212802,RPL15P3,ribosomal_protein,12.3,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000225499,RPL15P4,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000229535,RPL15P4,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000230211,RPL15P4,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000231623,RPL15P4,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000232572,RPL15P4,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000233965,RPL15P4,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000236273,RPL15P4,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000236547,RPL15P4,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000233045,RPL15P5,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000241723,RPL15P6,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000242262,RPL15P7,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000241651,RPL15P8,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000216917,RPL15P9,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000265681,RPL17,ribosomal_protein,1561.913818,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000229500,RPL17P1,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000224672,RPL17P10,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000233445,RPL17P11,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000230559,RPL17P12,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000223604,RPL17P13,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000226297,RPL17P14,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000229326,RPL17P15,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000236768,RPL17P16,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000223409,RPL17P17,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000234742,RPL17P18,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000241261,RPL17P19,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000242135,RPL17P2,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000241250,RPL17P20,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000241809,RPL17P21,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000243592,RPL17P22,ribosomal_protein,0.060102,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000220694,RPL17P23,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000237593,RPL17P24,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000219547,RPL17P25,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000216854,RPL17P26,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000243099,RPL17P27,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000229677,RPL17P28,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000231965,RPL17P29,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000271705,RPL17P3,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000244235,RPL17P30,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000241961,RPL17P31,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000243844,RPL17P33,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000213432,RPL17P34,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000233900,RPL17P35,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000236058,RPL17P36,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000241590,RPL17P37,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000240441,RPL17P38,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000212664,RPL17P39,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000240624,RPL17P4,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000241067,RPL17P40,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000281929,RPL17P40,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000213179,RPL17P41,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000228331,RPL17P43,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000241088,RPL17P44,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000267664,RPL17P45,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000239689,RPL17P46,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000242615,RPL17P47,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000235018,RPL17P48,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000231211,RPL17P49,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000230721,RPL17P5,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000213700,RPL17P50,ribosomal_protein,0.550091,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000271429,RPL17P51,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000226084,RPL17P6,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000244716,RPL17P7,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000213041,RPL17P8,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000223583,RPL17P9,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000063177,RPL18,ribosomal_protein,1825.277222,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000105640,RPL18A,ribosomal_protein,1827.174805,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000223733,RPL18AP14,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000236189,RPL18AP15,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000237793,RPL18AP16,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000227952,RPL18AP17,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000225043,RPL18AP2,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000213442,RPL18AP3,ribosomal_protein,64.14122,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000232439,RPL18AP7,ribosomal_protein,0.150098,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000218754,RPL18AP8,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000223916,RPL18AP9,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000242417,RPL18P1,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000214359,RPL18P10,ribosomal_protein,0.080102,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000213307,RPL18P11,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000244485,RPL18P13,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000108298,RPL19,ribosomal_protein,2088.85791,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000226217,RPL19P1,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000241668,RPL19P11,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000239315,RPL19P13,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000240870,RPL19P14,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000236762,RPL19P16,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000241654,RPL19P18,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000229863,RPL19P2,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000229168,RPL19P20,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000230508,RPL19P21,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000226915,RPL19P4,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000230580,RPL19P5,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000233597,RPL19P6,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000240827,RPL19P7,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000122026,RPL21,ribosomal_protein,859.407654,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000214760,RPL21P1,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000239272,RPL21P10,ribosomal_protein,0.050099,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000242405,RPL21P100,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000241423,RPL21P103,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000242922,RPL21P104,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000239201,RPL21P106,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000225239,RPL21P107,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000232701,RPL21P108,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000237816,RPL21P109,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000242571,RPL21P11,ribosomal_protein,0.230106,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000226617,RPL21P110,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000237109,RPL21P111,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000237924,RPL21P112,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000241640,RPL21P113,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000243780,RPL21P114,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000243568,RPL21P115,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000243711,RPL21P116,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000240238,RPL21P117,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000239763,RPL21P118,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000220793,RPL21P119,ribosomal_protein,0.58,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000259535,RPL21P12,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000244582,RPL21P120,ribosomal_protein,0.180105,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000237382,RPL21P121,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000283753,RPL21P121,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000241185,RPL21P122,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000240531,RPL21P123,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000240898,RPL21P125,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000242320,RPL21P126,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000243720,RPL21P127,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000244527,RPL21P128,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000242636,RPL21P129,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000242837,RPL21P13,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000243771,RPL21P130,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000232429,RPL21P131,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000183911,RPL21P132,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000236509,RPL21P133,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000233254,RPL21P134,ribosomal_protein,0.090099,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000235482,RPL21P135,ribosomal_protein,0.040101,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000271215,RPL21P136,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000236732,RPL21P137,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000242747,RPL21P14,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000239465,RPL21P15,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000220842,RPL21P16,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000214073,RPL21P17,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000213343,RPL21P18,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000219133,RPL21P19,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000215063,RPL21P2,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000227311,RPL21P20,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000224340,RPL21P21,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000225142,RPL21P22,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
